ID	Description	GeneRatio	pvalue	p.adjust	geneID	method	gene.name	list.name	list.count
R-HSA-1236974	ER-Phagosome pathway	11/250	5.33856257486531e-06	0.000304926132952601	3107/2923/5691/5692/5693/5695/5698/5702/5705/5713/6890	Reactome	HLA-C/PDIA3/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7/TAP1	Zhang/PL	2
R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	10/250	6.52507332284866e-06	0.000351991455360336	9184/8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	BUB3/CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	10/250	7.36663773670273e-06	0.000376473960123071	9184/8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	BUB3/CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	13/250	9.26797284945572e-06	0.000431621061509064	10768/2885/4775/4893/5290/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	AHCYL1/GRB2/NFATC3/NRAS/PIK3CA/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-5619084	ABC transporter disorders	10/250	9.33475004293547e-06	0.000431621061509064	19/368/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	ABCA1/ABCC6/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	PL/Zhang	2
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	9/250	1.07205530660325e-05	0.000473166228505342	8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	10/250	1.17410997113236e-05	0.00047510170368782	9184/8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	BUB3/CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	8/250	1.21604313873621e-05	0.00047510170368782	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-4608870	Asymmetric localization of PCP proteins	9/250	1.22322786737338e-05	0.00047510170368782	1856/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	DVL2/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-5358346	Hedgehog ligand biogenesis	9/250	1.39221714522801e-05	0.000489101584111491	85455/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	DISP2/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	PL/Zhang	2
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	8/250	1.41976034998813e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-9013694	Signaling by NOTCH4	10/250	1.4664165498296e-05	0.000489101584111491	84441/4851/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	MAML2/NOTCH1/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	PL/Zhang	2
R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	10/250	1.63468671011657e-05	0.000489101584111491	4775/4893/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	NFATC3/NRAS/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	8/250	1.65144410298412e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	9/250	1.79050537988956e-05	0.000489101584111491	8697/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	CDC23/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-180534	Vpu mediated degradation of CD4	8/250	1.91409476789255e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	8/250	1.91409476789255e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	8/250	1.91409476789255e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-69610	p53-Independent DNA Damage Response	8/250	1.91409476789255e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-69613	p53-Independent G1/S DNA damage checkpoint	8/250	1.91409476789255e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	8/250	1.91409476789255e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	8/250	1.91409476789255e-05	0.000489101584111491	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	5/250	2.00138319093193e-05	0.000498293097024335	598/2885/4893/5290/5781	Reactome	BCL2L1/GRB2/NRAS/PIK3CA/PTPN11	Zhang	1
R-HSA-169911	Regulation of Apoptosis	8/250	2.21094259647196e-05	0.000536706315293567	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-1236975	Antigen processing-Cross presentation	11/250	2.37355329547738e-05	0.000561736206435407	3107/2923/5691/5692/5693/5695/5698/5702/5705/5713/6890	Reactome	HLA-C/PDIA3/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7/TAP1	Zhang/PL	2
R-HSA-3858494	Beta-catenin independent WNT signaling	13/250	2.5399389437712e-05	0.000561736206435407	26523/815/1856/4343/23236/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	AGO1/CAMK2A/DVL2/MOV10/PLCB1/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-180585	Vif-mediated degradation of APOBEC3G	8/250	2.54545757808011e-05	0.000561736206435407	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-9604323	Negative regulation of NOTCH4 signaling	8/250	2.54545757808011e-05	0.000561736206435407	5691/5692/5693/5695/5698/5702/5705/5713	Reactome	PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
R-HSA-68949	Orc1 removal from chromatin	9/250	2.88328628401645e-05	0.00057874994347535	990/5691/5692/5693/5695/5698/5702/5705/5713	Reactome	CDC6/PSMB3/PSMB4/PSMB5/PSMB7/PSMB9/PSMC3/PSMC5/PSMD7	Zhang/PL	2
